session_id,session_length,session_position,is_skip_int
5049,98,62,1
5049,98,79,1
5049,98,93,0
5050,68,2,0
5050,68,4,1
5050,68,6,0
5050,68,11,1
5050,68,12,1
5050,68,20,1
5050,68,21,0
5050,68,31,0
5050,68,41,0
5050,68,50,0
5051,191,7,1
5051,191,15,1
5051,191,28,0
5051,191,77,1
5051,191,103,1
5051,191,118,1
5051,191,120,1
5051,191,128,0
5051,191,154,0
5051,191,168,1
5052,154,85,1
5052,154,104,1
5052,154,123,1
5052,154,135,1
5053,15,5,0
5055,51,4,1
5055,51,19,1
5055,51,50,0
5056,83,19,0
5056,83,22,1
5056,83,51,0
5057,68,16,0
5057,68,25,1
5057,68,34,1
5057,68,54,0
5057,68,65,0
5060,13,2,1
5061,31,11,1
5061,31,18,1
5061,31,23,1
5063,8,1,0
5064,91,5,1
5064,91,7,1
5064,91,14,0
5064,91,24,1
5064,91,29,1
5064,91,54,1
5064,91,68,1
5064,91,76,1
5064,91,82,1
5066,11,3,0
5066,11,6,0
5066,11,7,0
5067,15,9,0
5068,18,7,1
5068,18,15,0
5068,18,16,0
5069,38,2,1
5069,38,11,0
5069,38,24,1
5069,38,32,1
5071,24,8,1
5072,83,14,0
5072,83,42,0
5072,83,51,0
5072,83,57,0
5072,83,77,0
5072,83,82,0
5073,11,3,0
5074,159,7,1
5074,159,18,1
5074,159,20,1
5074,159,64,0
5074,159,67,0
5074,159,77,0
5074,159,83,0
5074,159,92,0
5074,159,106,0
5074,159,108,0
5074,159,150,0
5074,159,153,0
5074,159,157,0
5076,25,13,1
5076,25,18,0
5078,18,0,0
5079,6,0,0
5080,63,19,1
5080,63,20,1
5080,63,42,1
5080,63,48,1
5080,63,58,1
5082,88,10,1
5082,88,19,1
5082,88,39,1
5082,88,80,0
5083,45,18,1
5083,45,19,1
5083,45,26,1
5083,45,27,0
5083,45,33,0
5084,101,6,1
5084,101,12,1
5084,101,52,1
5084,101,74,0
5084,101,88,0
5085,21,6,0
5087,118,20,1
5087,118,44,0
5087,118,80,1
5087,118,88,1
5087,118,92,1
5087,118,105,1
5087,118,108,1
5087,118,110,1
5087,118,113,1
5092,89,13,0
5092,89,22,0
5092,89,43,0
5092,89,52,1
5092,89,55,1
5092,89,75,1
5092,89,77,1
5093,40,8,1
5093,40,15,0
5094,7,1,1
5095,16,15,0
5096,64,34,0
5096,64,47,1
5096,64,59,1
5097,126,22,1
5097,126,29,1
5097,126,38,1
5097,126,43,1
5097,126,92,1
5097,126,116,1
5097,126,118,0
